project_id,tier,maturity,domain,summary,key_numbers,next_step,risk
01AI-BAT,重点项目,模型/计算推进中,蝙蝠免疫与病毒耐受,从 Bat1K 和比较基因组资源中筛选免疫、病毒耐受、炎症调控和 DNA 修复相关候选基因，适合作为生物机制探索主线。,1469 个物种状态条目|91 个完成测序/组装/注释|第一版 ESM2 试点路线,收敛 10-20 个试点物种与候选免疫基因清单，跑通 protein/CDS 表征和可视化。,不要从 TB 级原始 reads 起步；先用已注释 genome/CDS/protein 数据做小规模试点。
02AI-老药新用,重点项目,阶段性成果已形成,癌症相关 drug-target pair 筛选,已完成 FDA 小分子与人类蛋白靶点的大规模筛选，并形成疾病证据整合和结构增强结果。,915000 个 pair|Top1000 结构增强|940 个 DiffDock 有效输出,从 Stage 6 Top100 中按癌种、机制证据和实验可行性下选 20-50 个候选。,Full DiffDock 尚未完成，磁盘和失败任务重跑策略需要先解决。
03AI-LNP,待启动/支撑方向,任务定义待补齐,脂质纳米颗粒递送系统,方向已建立，但第一阶段应用场景、变量体系和可用数据源仍需收敛。,应用场景待定|关键变量待整理|无新增结果材料,确定 mRNA、siRNA、肝靶向或通用配方整理中的一个最小任务。,若不先确定应用场景，项目容易停留在泛泛的递送系统介绍。
04AI-生物化学,待启动/支撑方向,知识底座待定义,团队共用机制框架,更适合作为团队生物化学基础支撑页，帮助不同项目共享蛋白、药物、代谢、通路等概念语言。,支撑 10 个方向|可转知识库|内容框架待明确,决定做知识库、课程式内容，还是某个具体生物化学研究问题。,不能只做概念堆叠，需要绑定到团队项目里的真实机制问题。
05AI-级联催化逆合成,数据资源能力,数据资源成型,级联反应结构化数据库,已形成 Cascade Dataset v4 和质量分层体系，支撑复杂文献知识结构化与后续路线评估任务。,3810 条 reaction records|8609 个 steps|3744 条 gold/silver release,优先做路线级级联可行性评估，而不是从零训练完整规划模型。,现有数据量不足以支撑强生成式级联规划，短期应聚焦评估器和路线修饰。
06AI-有机光伏材料,数据资源能力,数据资源成型,OPV 文献数据库与材料性能,OPV-DB 已完成从文献表格到 device-level 数据库、字段覆盖和物理验证的数据资源建设。,40599 条 device records|8018 个 DOI|94.4% 核心指标完整,确定第一阶段主任务：数据集建设、PCE 预测、材料筛选或器件条件分析。,处理条件字段覆盖较弱，厚度和退火温度仍需补齐或明确边界。
07AI-抗冻肽,重点项目,结果推进中,抗冻蛋白/肽预测生成与实验验证,已经形成预测、生成、天然库筛选、motif 挖掘和湿实验验证的完整路线。,64 万极地蛋白初筛|约 8000 条 AFP-like 生成候选|815/1000 LoRA 命中率,从候选蛋白 motif 下切到短肽，并补齐冰重结晶抑制和结构表征结果。,抗冻肽直接数据稀缺，需要谨慎区分 AFP-like 蛋白命中和短肽功能验证。
08AI-可变蛋白,重点项目,方法框架成型,IDP ensemble 生成,ThermoProt 已形成聚合物先验、flow matching、等变网络和 observable 审计框架。,Rg Pearson r 约 0.968|contact Jaccard 约 0.862|5-7% Rg 误差水平,补齐匹配 baseline、SAXS/FRET/PRE 等实验闭环和热力学校准证据。,只能表述为 Cα 级 IDP ensemble generator，不能宣称严格平衡模拟器或 broad SOTA。
09AI-胃癌预测,重点项目,任务细化中,胃癌免疫治疗响应预测,围绕多模态数据、概念瓶颈和 TLS 弱监督识别，目标是输出临床可解释的响应预测报告。,约 29 例小样本|4 张标注 WSI|TLS patch-level 热图路线,规范 TLS 点标注到 patch 标签的生成策略，并连接 TLS 热图与响应预测主线。,样本量小且标注为点标注，模型结论需要强调弱监督和质量控制边界。
10AI-吸附质放置,方法拓展,方法调研/复现评估,催化表面吸附构型生成,AdsorbFlow 代表 flow matching 在材料/催化界面建模中的方法扩展方向。,5 步 ODE 采样|SR@10 = 61.4%|约 20 倍采样步数减少,判断能否迁移到团队后续材料、催化或生物界面建模任务。,当前为刚体吸附质放置；大分子 torsion、co-adsorbates 和不确定性仍未覆盖。
