event_id,project_id,date,event_type,status,title,summary,source_path
evt-2026-05-11-drug-screen,02AI-老药新用,2026-05-11,milestone,done,老药新用筛选报告完成,"完成 915 个 FDA 小分子 x 1000 个人类蛋白靶点的筛选，并形成 Top1000 结构增强结果。",02AI-老药新用\README.md
evt-2026-05-17-bat-plan,01AI-BAT,2026-05-17,milestone,done,BAT 试点路线收敛,"完成蝙蝠物种资源统计和第一版 protein/CDS 序列表征试点路线。",01AI-BAT\README.md
evt-2026-05-21-bat-genome-sync,01AI-BAT,2026-05-21,meeting,done,蝙蝠基因组分析复现与网页展示讨论,"明确先复现参考文献流程，同时深挖现有 embedding 图表并用 HTML/GitHub Pages 展示结果。",Meet_content\2026-05-21-蝙蝠基因组分析复现与网页展示讨论.minutes.md
evt-2026-05-17-molgen-meeting,05AI-级联催化逆合成,2026-05-17,meeting,done,条件分子生成论文共读,"形成 decoder-coupled drift、pullback gradient 和多样性控制等机制共识。",Meet_content\2026-05-17-条件分子生成论文共读.minutes.md
evt-2026-05-17-cascade-meeting,05AI-级联催化逆合成,2026-05-17,meeting,done,级联反应路径规划讨论,"明确路线级评估与级联修饰优先于从零训练完整级联规划模型。",Meet_content\2026-05-17-级联反应路径规划讨论.minutes.md
evt-2026-05-17-afp-pipeline,07AI-抗冻肽,2026-05-17,milestone,done,抗冻肽预测生成流程成型,"完成预测器、生成器、候选筛选和 motif 挖掘流程，湿实验正在推进。",07AI-抗冻肽\README.md
evt-2026-05-17-thermoprot-benchmark,08AI-可变蛋白,2026-05-17,milestone,done,ThermoProt benchmark 审计完成,"完成 IDP ensemble 生成框架、本地 benchmark 审计和 claim boundary 整理。",08AI-可变蛋白\README.md
evt-2026-05-24-drug-candidate-sync,02AI-老药新用,2026-05-24,meeting,planned,老药新用 Top 候选下选讨论,"计划从 Stage 6 Top100 中按癌种、机制证据和实验可行性下选 20-50 个候选。",
evt-2026-05-24-afp-wetlab-sync,07AI-抗冻肽,2026-05-24,meeting,planned,抗冻肽短肽与湿实验同步,"计划对 motif 下切候选、冰重结晶抑制实验和结构表征进展进行同步。",
evt-2026-05-31-cascade-evaluator,05AI-级联催化逆合成,2026-05-31,milestone,planned,级联路线评估器小验证,"计划整理 cascade/test set 路线，并完成第一版路线级可行性评估 prompt 或规则。",
evt-2026-05-31-gastric-tls,09AI-胃癌预测,2026-05-31,milestone,planned,TLS patch 标签与热图闭环,"计划规范 TLS 点标注到 patch 标签的生成策略，并连接 TLS 热图与响应预测主线。",
